#f/Hz	#10U_c/V	#10U/V
#10	64.8		65
#20	64.8		65
#30	64.8		65
#40	64.8		65
#50	64.8		65
#60	64.8		65
#70	64.8		65
#80	64.4		65
#90	64.4		65
#100	64.8		65
#150	64.8		65
#200	64.8		65
#300	64.8		65
#400	64.8		65
500	64.8		65
600	64.8		64
700	64.8		64
800	64.8		64
900	64.8		64
1000	66		63.5
1500	66		64.5
2000	66		64.5
3000	66.8		66
4000	66.8		64
5000	67.6		64
6000	67.6		64.5
7000	68.4		65
8000	69.2		65
9000	70.8		65
10000	72		63.5
15000	81		64.5
20000	98		64.5
21000	103		64.5
22000	108		64.5
23000	115		64.5
24000	121		64.5
25000	131		63.5
26000	140		63.5
27000	151		63.5
28000	165		63.5
29000	181		63.5
30000	197		63.5
31000	212		63.5
32000	230		63.5
33000	238		63.5
34000	234		63.5
35000	222		64
36000	202		64
37000	180		64
38000	160		64
39000	140		64
40000	128		64
41000	115		64
42000	103		64
43000	93		64
44000	85		64
45000	77		64
46000	72		64
47000	63.6		64
48000	59.2		64
49000	54.8		64
50000	51.6		64
60000	30		64
70000	19.4		64
80000	13.7		64
90000	10.4		64
100000	8.1		64
150000	2.91		64
200000	1.4		64
300000	0.29		64
