#s/mm	#I/nA
-12	18
-11.75	19
-11.5	19
-11.25	22	
-11	33
-10.75	47
-10.5	52
-10.25	45
-10	37
-9.75	34
-9.5	43
-9.25	46
-9	40
-8.75	30
-8.5	25
-8.25	24
-8	26
-7.75	27
-7.5	31.5
-7.25	49.5
-7	80
-6.75	105
-6.5	100
-6.25	80
-6	75
-5.75	100
-5.5	120
-5.25	115
-5	80
-4.75	50
-4.5	35
-4.25	35
-4	42
-3.75	58
-3.5	120
-3.25	265
-3	440
-2.75	530
-2.5	480
-2.25	500
-2.125	640
-2	900
-1.875	1225
-1.75	1550
-1.5	1850
-1.25	1500
-1.125	1250
-1	1100
-0.875	1100
-0.75	1350
-0.625	1750
-0.5	2250
-0.375	2600
-0.25	2750
-0.125	2600	
0	2250
0.125	1750
0.25	1350
0.375	1150
0.5	1125
0.625	1350
0.75	1650
0.875	1900
1	2000
1.125	1950
1.25	1650
1.375	1300
1.5	950
1.625	650
1.75	500
2	550
2.25	650
2.5	550
2.75	500
3	130
3.25	74
3.5	60
3.75	41
4	28
4.25	38
4.5	67
4.75	94
5	90
5.25	70
5.5	60
5.75	75
6	105
6.25	100
6.5	75
6.75	45
7	36
7.25	33
7.5	29
7.75	27
8	26
8.25	26
8.5	30
8.75	40
9	40
9.25	28
9.5	24
9.75	32
10	40
10.25	34
10.5	23
10.75	16
11	15
11.25	15
11.5	14.5
11.75	14
12	17	
