#s/mm	#I/nA
-13	20
-12.75	21
-12.5	22
-12.25	22	
-12	22
-11.75	22
-11.5	21.75
-11.25	21
-11	20
-10.75	19
-10.5	18
-10.25	16
-10	15
-9.75	13.5
-9.5	12
-9.25	11
-9	10
-8.75	9
-8.5	9
-8.25	9.5
-8	10.5
-7.75	12.5
-7.5	15
-7.25	18.5
-7	22.5
-6.75	28
-6.5	34
-6.25	41.5
-6	48
-5.75	59
-5.5	69
-5.25	80
-5	92
-4.75	105
-4.5	120
-4.25	132.5
-4	145
-3.75	160
-3.5	170
-3.25	170
-3	197.5
-2.75	207.5
-2.5	220
-2.25	230
-2	237.5
-1.75	245
-1.5	250
-1.25	257.5
-1	265
-0.75	265
-0.5	265
-0.25	260
0	260
0.25	257.5
0.5	250
0.75	240
1	230
1.25	227.5
1.5	210
1.75	200
2	190
2.25	175
2.5	162.5
2.75	150
3	135
3.25	125
3.5	110
3.75	97.5
4	85
4.25	75
4.5	65
4.75	55
5	47
5.25	39
5.5	33
5.75	27
6	22
6.25	17
6.5	15
6.75	11
7	9
7.25	8
7.5	7
7.75	7
8	6.8
8.25	7.2
8.5	7.9
8.75	8.8
9	9
9.25	10.5
9.5	11.5
9.75	12.5
10	13.5
10.25	13.5
10.5	15
10.75	15
11	15.5
11.25	15
11.5	15
11.75	14.5
12	14
12.25	13.5
12.5	12.5
12.75	12
13	11
