#U/V    #I/pA
-19       -6
-18       -6
-17       -6
-16       -6
-15       -6
-14       -6
-13       -6
-12       -6
-11       -6
-10       -5.75
-9        -5.5
-8        -5.5
-7        -5.5
-6        -5.25
-5        -5
-4        -4.5
-3        -4
-2        -3.75
-1        -3
0       95
1       235
2       340
3       460
4       560
5       620
6       670
7       720
8       770
9       800
10        820
11        860
12        880
13        900
14        920
15        920
16        940
17        960
18        970
19        980
