#U/V    #I/pA
1.675     0
1.65      1
1.6     2
1.55     4
1.5     7
1.45     8
1.4     11.5
1.35      13
1.3       18
1.25      22
1.2       28
1.15        33
1.1       40
1.05        48
1         56
0.95      64
0.9       72
0.85        81
0.8       89
0.75        96
0.7         105
0.65          112.5
0.6         120
0.55           130
0.5          140
0.45           142.5
0.4          150
0.35           160
0.3          170
0.25           177.5
0.2            180
0.15           190
0.1          200
0.05           210
0         215
