#Z�hlrohrwinkel	#Rate bei 35kV
#2*theta/�	#R(35kV)/Imp/s

26.0	31.0
26.1	31.0
26.2	31.0
26.3	32.0
26.4	31.0
26.5	28.0
26.6	34.0
26.7	31.0
26.8	38.0
26.9	42.0
27.0	44.0
27.1	51.0
27.2	55.0
27.3	68.0
27.4	76.0
27.5	84.0
27.6	98.0
27.7	106.0
27.8	105.0
27.9	121.0
28.0	123.0
28.1	141.0
28.2	136.0
28.3	136.0
28.4	129.0
28.5	123.0
28.6	115.0
28.7	114.0
28.8	104.0
28.9	85.0
29.0	80.0
29.1	72.0
29.2	57.0
29.3	45.0
29.4	45.0
29.5	33.0
29.6	31.0
29.7	30.0
29.8	28.0
29.9	27.0
30.0	28.0
