#Z�hlrohrwinkel	#Rate bei 35kV
#2*theta/�	#R(35kV)/Imp/s

8.0	16.0
8.4	16.0
8.8	18.0
9.2	17.0
9.6	24.0
10.0	21.0
10.4	24.0
10.8	33.0
11.2	39.0
11.6	41.0
12.0	50.0
12.4	58.0
12.8	69.0
13.2	67.0
13.6	75.0
14.0	78.0
14.4	88.0
14.8	91.0
15.2	102.0
15.6	111.0
16.0	118.0
16.4	134.0
16.7	122.0
17.2	134.0
17.6	134.0
18.0	137.0
18.4	146.0
18.8	140.0
19.2	151.0
19.6	161.0
20.0	159.0
20.4	162.0
20.8	168.0
21.2	164.0
21.6	178.0
22.0	183.0
22.4	157.0
22.8	168.0
23.2	167.0
23.6	173.0
24.0	164.0
24.4	163.0
24.8	168.0
25.2	169.0
25.6	160.0
26.0	140.0
26.4	137.0
26.8	129.0
27.2	123.0
27.6	120.0
28.0	113.0
28.4	116.0
28.8	111.0
29.2	126.0
29.6	111.0
30.0	114.0
30.4	113.0
30.8	105.0
31.2	100.0
31.6	106.0
32.0	107.0
32.4	100.0
32.8	98.0
33.2	103.0
33.6	102.0
34.0	95.0
34.4	91.0
34.8	87.0
35.2	80.0
35.5	89.0
36.0	81.0
36.4	75.0
36.8	75.0
37.2	83.0
37.5	77.0
38.0	81.0
38.4	84.0
38.8	87.0
39.2	85.0
39.5	131.0
40.0	1021.0
40.4	675.0
40.8	135.0
41.2	104.0
41.5	93.0
42.0	96.0
42.4	89.0
42.8	86.0
43.2	93.0
43.6	108.0
44.0	201.0
44.4	3195.0
44.8	3069.0
45.2	547,.0
45.5	130,.0
46.0	81.0
46.4	73.0
46.8	65.0
47.2	57.0
47.6	57.0
48.0	54.0
48.4	59.0
48.8	50.0
49.2	45.0
49.6	47.0
50.0	49.0
50.4	41.0
50.8	46.0
51.2	40.0
51.6	43.0
52.0	42.0
