#Z�hlrohrwinkel	#Ratebei35kVmitAu
#2*theta/�	#R(35kV)/Imp/s

22.0	104.0
22.2	103.0
22.4	101.0
22.6	103.0
22.8	101.0
23.0	100.0
23.2	101.0
23.4	99.0
23.6	95.0
23.8	99.0
24.0	97.0
24.2	100.0
24.4	99.0
24.6	97.0
24.8	97.0
25.0	98.0
25.2	102.0
25.4	98.0
25.6	101.0
25.8	103.0
26.0	100.0
26.2	88.0
26.4	85.0
26.6	89.0
26.8	80.0
27.0	79.0
27.2	80.0
27.4	75.0
27.6	78.0
27.8	71.0
28.0	72.0
28.2	72.0
28.4	76.0
28.6	72.0
28.8	67.0
29.0	69.0
29.2	71.0
29.4	75.0
29.6	75.0
29.8	76.0
30.0	84.0
30.2	86.0
30.4	81.0
30.6	84.0
30.8	82.0
31.0	81.0
31.2	76.0
31.4	78.0
31.6	72.0
31.8	74.0
32.0	71.0
