#Z�hlrohrwinkel	#Ratebei35kVmitSr
#2*theta/�	#R(35kV)/Imp/s

16.0	35.0
16.2	32.0
16.4	33.0
16.6	33.0
16.7	33.0
17.0	32.0
17.2	33.0
17.4	31.0
17.6	30.0
17.7	33.0
18.0	30.0
18.2	30.0
18.4	28.0
18.6	28.0
18.8	28.0
19.0	32.0
19.2	28.0
19.4	26.0
19.6	26.0
19.8	28.0
20.0	26.0
20.2	25.0
20.4	24.0
20.6	26.0
20.8	24.0
21.0	25.0
21.2	26.0
21.4	27.0
21.6	39.0
21.8	59.0
22.0	68.0
22.2	82.0
22.4	82.0
22.6	80.0
22.8	82.0
23.0	77.0
23.2	77.0
23.4	74.0
23.6	75.0
23.8	71.0
24.0	73.0
24.2	70.0
24.4	70.0
24.6	67.0
24.8	65.0
25.0	63.0
25.2	64.0
25.4	59.0
25.6	58.0
25.8	57.0
26.0	52.0
