#Z�hlrohrwinkel	#Ratebei35kVmitZn
#2*theta/�	#R(35kV)/Imp/s

32.0	40.0
32.2	37.0
32.4	37.0
32.5	41.0
32.8	39.0
33.0	36.0
33.2	33.0
33.4	36.0
33.6	36.0
33.8	35.0
34.0	35.0
34.2	34.0
34.4	35.0
34.5	36.0
34.8	34.0
35.0	34.0
35.2	32.0
35.4	31.0
35.5	32.0
35.8	32.0
36.0	30.0
36.2	30.0
36.4	31.0
36.5	32.0
36.8	41.0
37.0	49.0
37.2	52.0
37.4	56.0
37.5	58.0
37.8	57.0
38.0	53.0
38.2	53.0
38.4	53.0
38.6	56.0
38.8	54.0
39.0	55.0
39.2	52.0
39.4	67.0
39.5	92.0
39.8	496.0
40.0	692.0
40.2	654.0
40.4	477.0
40.5	281.0
40.8	93.0
41.0	79.0
41.2	71.0
41.4	65.0
