#Z�hlrohrwinkel	#Ratebei35kVmitZr
#2*theta/�	#R(35kV)/Imp/s

16.0	51.0
16.2	54.0
16.4	58.0
16.6	57.0
16.7	59.0
17.0	58.0
17.2	59.0
17.4	60.0
17.6	61.0
17.7	58.0
18.0	57.0
18.2	55.0
18.4	55.0
18.6	54.0
18.8	56.0
19.0	57.0
19.2	65.0
19.4	76.0
19.6	92.0
19.8	105.0
20.0	111.0
20.2	113.0
20.4	113.0
20.6	117.0
20.8	120.0
21.0	116.0
21.2	114.0
21.4	116.0
21.6	118.0
21.8	116.0
22.0	118.0
22.2	110.0
22.4	113.0
22.6	111.0
22.8	109.0
23.0	104.0
23.2	108.0
23.4	106.0
23.6	109.0
23.8	103.0
24.0	101.0
