#f/kHz    #U/V
20        0.012
21        0.014
22        0.016
23        0.0185
24        0.0215
25        0.025
26        0.029
27        0.0345
28        0.041
29        0.05
30        0.0625
30.5    0.07
31      0.0795
31.5      0.092
32      0.092
32.5      0.115
33      0.1475
33.5      0.2
34      0.29
34.1        0.26
34.2         0.285
34.3         0.36
34.4         0.42
34.5         0.49
34.6         0.54
34.7         0.655
34.8         0.760
34.9         0.99
35         1
35.1        1.5
35.2         1.85
35.3         1.7
35.4         1.4
35.5         0.8
35.6         0.85
35.7         0.66
35.8         0.58
35.9         0.46
36         0.42
36.5         0.23
37         0.14
37.5         0.09
38         0.06
39         0.02
40         0.06
