#p/mbar   #channel  #N_ges
0         966        85483
50        952        84772
100       929        84944
150       938        88255
200       916        87268
250       853        82128
300       837        84315
350       826        82626
400       804        82835
450       777        82689
500       758        79876
550       721        78694
600       697        76527
650       670        73763
700       648        70818
750       606        65117
800       582        59842
850       536        49709
900       530        39311
950       527        29029
1000      524        22278
