#p/mbar   #channel  #N_ges
0         1007      119924
50        1083      117983
100       1032      116688
150       1014      116310
200       991       115745
250       963       114693
300       942       113976
350       925       113554
400       882       113096
450       856       112362
500       852       109869
550       820       109569
600       802       108607
650       762       110633
700       742       107034
750       721       105293
800       690       104224
850       658       100940
900       624       99344
950       594       96054
1000      614       95223
