#U/V  #N     #I/µA
300   0     0
310   8349  0.05
320   8707  0.1
330   8731  0.15
340   8915  0.15
350   9053  0.2
360   8972  0.2
370   8934  0.2
380   9053  0.2
390   8981  0.2
400   9126  0.2
410   9186  0.25
420   9124  0.3
430   9182  0.35
440   9060  0.35
450   9130  0.4
460   9309  0.4
470   9308  0.4
480   9190  0.4
490   9258  0.5
500   9399  0.5
510   9312  0.45
520   9390  0.5
530   9400  0.55
540   9321  0.55
550   9223  0.55
560   9370  0.6
570   9311  0.6
580   9512  0.6
590   9535  0.65
600   9418  0.65
610   9538  0.7
620   9515  0.7
630   9402  0.75
640   9526  0.75
650   9633  0.75
660   9640  0.8
670   9629  0.8
680   9627  0.85
690   9640  0.85
700   9770  0.9
